stock_code,week_of,description_first,year_first,total_quantity,total_revenue_sum,count
10002,2010-03-01T00:00:00.000Z,Inflatable Political Globe,2010,439,321.15000000000003,5
10002,2010-04-05T00:00:00.000Z,Inflatable Political Globe,2010,747,540.05,7
10002,2010-05-10T00:00:00.000Z,Inflatable Political Globe,2010,600,432.0,2
10002,2010-07-19T00:00:00.000Z,Inflatable Political Globe,2010,259,194.14999999999998,6
10002,2010-08-02T00:00:00.000Z,Inflatable Political Globe,2010,235,173.75,5
10002,2010-08-23T00:00:00.000Z,Inflatable Political Globe,2010,236,174.59999999999997,4
10002,2010-09-27T00:00:00.000Z,Inflatable Political Globe,2010,448,328.79999999999995,5
10002,2010-10-11T00:00:00.000Z,Inflatable Political Globe,2010,449,329.65,6
10002,2010-11-15T00:00:00.000Z,Inflatable Political Globe,2010,389,298.15000000000003,10
10123G,2010-09-27T00:00:00.000Z,Army Camo Wrapping Tape,2010,1105,66.89,2
10133,2011-08-15T00:00:00.000Z,Colouring Pencils Brown Tube,2011,205,86.10000000000001,7
10133,2011-08-22T00:00:00.000Z,Colouring Pencils Brown Tube,2011,215,90.30000000000001,7
10135,2010-02-22T00:00:00.000Z,Colouring Pencils Brown Tube,2010,741,793.25,4
10135,2010-12-13T00:00:00.000Z,Colouring Pencils Brown Tube,2010,300,126.00000000000003,9
11001,2010-05-10T00:00:00.000Z,Asstd Design Racing Car Pen,2010,387,553.23,4
11001,2010-09-27T00:00:00.000Z,Asstd Design Racing Car Pen,2010,368,521.1200000000001,7
11001,2010-10-04T00:00:00.000Z,Asstd Design Racing Car Pen,2010,208,351.52,8
11001,2010-10-11T00:00:00.000Z,Asstd Design Racing Car Pen,2010,355,499.15000000000003,5
11001,2011-08-01T00:00:00.000Z,Asstd Design Racing Car Pen,2011,384,487.68,1
15034,2010-01-04T00:00:00.000Z,Paper Pocket Traveling Fan,2010,288,40.32000000000001,1
15034,2010-05-31T00:00:00.000Z,Paper Pocket Traveling Fan,2010,336,30.240000000000002,4
15034,2010-06-21T00:00:00.000Z,Paper Pocket Traveling Fan,2010,252,35.28,5
15034,2010-06-28T00:00:00.000Z,Paper Pocket Traveling Fan,2010,504,70.56,4
15034,2011-04-25T00:00:00.000Z,Paper Pocket Traveling Fan,2011,432,43.68000000000001,4
15034,2011-05-02T00:00:00.000Z,Paper Pocket Traveling Fan,2011,492,68.88000000000001,2
15034,2011-05-23T00:00:00.000Z,Paper Pocket Traveling Fan,2011,204,28.560000000000002,6
15034,2011-05-30T00:00:00.000Z,Paper Pocket Traveling Fan,2011,264,20.16,2
15034,2011-06-06T00:00:00.000Z,Paper Pocket Traveling Fan,2011,1272,94.08000000000003,4
15034,2011-09-26T00:00:00.000Z,Paper Pocket Traveling Fan,2011,1212,85.68000000000002,2
15034,2011-10-10T00:00:00.000Z,Paper Pocket Traveling Fan,2011,396,55.440000000000005,2
15034,2011-10-31T00:00:00.000Z,Paper Pocket Traveling Fan,2011,396,55.440000000000005,4
15036,2009-11-30T00:00:00.000Z,Assorted Colours Silk Fan,2009,319,166.55,5
15036,2010-02-15T00:00:00.000Z,Assorted Colours Silk Fan,2010,204,132.6,5
15036,2010-03-15T00:00:00.000Z,Assorted Colours Silk Fan,2010,708,397.8,5
15036,2010-03-29T00:00:00.000Z,Assorted Colours Silk Fan,2010,780,502.68,7
15036,2010-04-26T00:00:00.000Z,Assorted Colours Silk Fan,2010,816,552.0,9
15036,2010-05-10T00:00:00.000Z,Assorted Colours Silk Fan,2010,1176,728.16,11
15036,2010-05-24T00:00:00.000Z,Assorted Colours Silk Fan,2010,864,588.0,11
15036,2010-05-31T00:00:00.000Z,Assorted Colours Silk Fan,2010,383,263.25,9
15036,2010-06-07T00:00:00.000Z,Assorted Colours Silk Fan,2010,1080,750.0,17
15036,2010-06-21T00:00:00.000Z,Assorted Colours Silk Fan,2010,1500,927.0,20
15036,2010-06-28T00:00:00.000Z,Assorted Colours Silk Fan,2010,1269,891.75,15
15036,2010-07-05T00:00:00.000Z,Assorted Colours Silk Fan,2010,312,234.0,10
15036,2010-07-12T00:00:00.000Z,Assorted Colours Silk Fan,2010,444,323.4,18
15036,2010-07-19T00:00:00.000Z,Assorted Colours Silk Fan,2010,1608,1022.4000000000001,16
15036,2010-10-11T00:00:00.000Z,Assorted Colours Silk Fan,2010,828,561.0,6
15036,2010-10-25T00:00:00.000Z,Assorted Colours Silk Fan,2010,1272,834.0,3
15036,2010-11-15T00:00:00.000Z,Assorted Colours Silk Fan,2010,318,226.5,9
15036,2010-11-22T00:00:00.000Z,Assorted Colours Silk Fan,2010,870,592.5,11
15036,2011-01-31T00:00:00.000Z,Assorted Colours Silk Fan,2011,1872,1152.0,7
